SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Landbrug, skovbrug og fiskeri;;;;;;
2;"01.11.00";2;Dyrkning af korn (undtagen ris), bælgfrugter og olieholdige frø;Branchen omfatter dyrkning af alle former for korn (undtagen ris), bælgfrugter og olieholdige frø.;"Dyrkning af korn som:
- Hvede
- Majs
- Durra
- Byg
- Rug
- Havre
- Hirse
- Boghvede
- Andre kornsorter i.a.n.
Dyrkning af bælgfrugter som:
- Bønner
- Hestebønner
- Kikærter
- Koærter
- Linser
- Lupiner
- Ærter
- Ærtebønner
- Andre bælgfrugter
Dyrkning af olieholdige frø som:
- Sojabønner
- Jordnødder
- Bomuldsfrø
- Ricinusfrø
- Hørfrø
- Sennepsfrø
- Nigerfrø
- Rapsfrø
- Saflorfrø
- Sesamfrø
- Solsikkefrø
- Andre olieholdige frø";;"- Dyrkning af ris, jf.<ref>01.12.00</ref>
- Dyrkning af sukkermajs, jf.<ref>01.13.00</ref>
- Dyrkning af fodermajs, jf.<ref>01.19.00</ref>
- Dyrkning af olieholdige frugter, jf.<ref>01.26.00</ref>";;
3;"01.12.00";2;Dyrkning af ris;Branchen omfatter dyrkning af ris.;Dyrkning af ris;;;;
4;"01.13.00";2;Dyrkning af grøntsager og meloner, rødder og rodknolde;Branchen omfatter dyrkning af grøntsager og meloner, som fx agurker, tomater, kartofler, maniok og honningmelon. Dyrkning af krydderiplanter og aromaplanter henvises til 01.30.00;"Dyrkning af bladgrøntsager eller stængelgrøntsager som:
- Artiskokker
- Asparges
- Kål
- Blomkål og broccoli
- Salat og cikorie
- Spinat
- Andre bladgrøntsager eller stængelgrøntsager
- Dyrkning af frugtbærende grøntsager som:
- Agurker og drueagurker
- Auberginer
- Tomater
- Vandmeloner
- Kantalupmeloner
- Andre meloner og frugtbærende grøntsager
- Dyrkning af rod-, løg- eller knoldgrøntsager som:
- Gulerødder
- Turnips
- Hvidløg
- Løg (herunder skalotteløg)
- Porrer og andre alliumarter
- Andre rod-, løg- eller knoldgrøntsager
Dyrkning af svampe og trøfler
Dyrkning af champignoner
Dyrkning af grøntsagsfrø, herunder sukkerroefrø, bortset fra andre roefrø
Dyrkning af sukkermajs
Dyrkning af sukkerroer
Dyrkning af andre grøntsager
Dyrkning af rødder og rodknolde som:
- Kartofler
- Søde kartofler
- Maniok
- Yams
- Andre rødder og rodknolde";;"- Dyrkning af chilipebere, peberfrugter (capsicum sop.) og andre krydderiplanter og aromaplanter, jf.<ref>01.28.00</ref>
- Dyrkning af svampemycelium til formering, jf.<ref>01.30.00</ref>";;
5;"01.14.00";2;Dyrkning af sukkerrør;Branchen omfatter dyrkning af sukkerrør. Dyrkning af sukkerroer henvises til 01.13.00;;;Dyrkning af sukkerroer, jf.<ref>01.13.00</ref>;;
6;"01.15.00";2;Dyrkning af tobak;Branchen omfatter dyrkning af tobak.;"Dyrkning af tobak:
- Tørret/strippet tobak";;;;
7;"01.16.00";2;Dyrkning af tekstilplanter;Branchen omfatter dyrkning af fx bomuld, jute, hør og hamp, sisal, abaca samt rødning af tekstilplanter.;"Dyrkning af bomuld
Dyrkning af jute, kenaf og andre stængelfibre
Dyrkning af hør og hamp
Dyrkning af sisal og andre agavefibre
Dyrkning af abaca, ramie og andre tekstilfiberplanter
Dyrkning af andre tekstilplanter
Rødning af planter med vegetabilske tekstilfibre (jute, hør, kokosfibre mv.)";;;;
8;"01.19.00";2;Dyrkning af andre etårige afgrøder;Branchen omfatter dyrkning af foderafgrøder, helsæd, roefrø og frø fra foderplanter samt dyrkning og fremstilling af blomster, snitblomster, blomsterknopper og blomsterfrø.;"Dyrkning af alle andre etårige afgrøder:
- Dyrkning af fodermajs, helsæd, kløver, lucerne og andre græsser til foder
- Dyrkning af fodersukkerroer, kålroer, kålrabier, fodermarkkål og andre rodfrugter
til foder
- Dyrkning af roefrø (bortset fra sukkerroefrø) og frø fra foderplanter
- Dyrkning af blomster
- Fremstilling af snitblomster og blomsterknopper
- Dyrkning af blomsterfrø";;Dyrkning af etårige krydderiplanter, aromaplanter og lægeplanter, jf.<ref>01.28.00</ref>;;
9;"01.21.00";2;Dyrkning af druer;Branchen omfatter dyrkning af druer, herunder presningsdruer samt spisedruer i vingårde. Fremstilling af vin henvises til 11.02.00;Dyrkning af presningsdruer og spisedruer i vingårde;;- Fremstilling af vin, jf.<ref>11.02.00</ref>;;
10;"01.22.00";2;Dyrkning af tropiske og subtropiske frugter;Branchen omfatter dyrkning af tropiske og subtropiske frugter, som fx avocado, ananas, bananer, dadler og figner, mango og papaja.;"Dyrkning af tropiske og subtropiske frugter:
- Avocadoer
- Ananas
- Bananer og pisangbananer
- Dadler
- Figner
- Mangofrugter
- Papajafrugter
- Andre tropiske og subtropiske frugter";;;;
11;"01.23.00";2;Dyrkning af citrusfrugter;Branchen omfatter dyrkning af citrusfrugter, som fx grapefrugt, citron, lime, pompelmus, appelsiner, tangeriner mm.;"Dyrkning af citrusfrugter:
- Grapefrugt og pompelmus
- Citroner og limefrugter
- Appelsiner
- Tangeriner, mandariner og klementiner
- Andre citrusfrugter";;;;
12;"01.24.00";2;Dyrkning af kernefrugter og stenfrugter;Branchen omfatter dyrkning af frugter med sten eller kerner, som fx æbler, pærer, kvæder, abrikoser, kirsebær, ferskner, blommer og slåen.;"Dyrkning af kernefrugter og stenfrugter:
- Æbler
- Abrikoser
- Kirsebær og surkirsebær
- Ferskner og nektariner
- Pærer og kvæder
- Blommer og slåen
- Andre kernefrugter og stenfrugter";;;;
